Song,entity_text,entity_label,Year,Lyrics
Venus,Venus,PERSON,1959.0,"skies And place them in her eyes for me Venus, goddess of love that you are Surely the things I ask Can't be too great"
Venus,Venus,ORG,1959.0,"promise that I always will be true I'll give her all the love I have to give As long as we both shall live Venus,"
Venus,Venus,ORG,1959.0,"to give As long as we both shall live Venus, goddess of love that you are Surely the things I ask Can't be too great"
Venus,Venus,ORG,1959.0,promise that I always will be true I'll give her all the love I have to give As long as we both shall live Venus!
Lonely Boy,Each night,TIME,1959.0,like this I'd like to hear Somebody say I'll give you my love Each night and day I'm just a lonely boy Lonely and blue
Lonely Boy,Somebody,PERSON,1959.0,"everything You could think of But all I want Is someone to love Somebody, somebody, somebody, please Send her to me I'll make her happy"
The Three Bells,this hour,TIME,1959.0,"not into temptation Bless this hour of meditation Guide him with eternal love. There's a village, hidden deep in the valley Beneath the mountains high"
The Three Bells,twenty years,DATE,1959.0,"high above And there, twenty years thereafter Jimmy was to meet his love All the chapel bells were ringing 'Twas a great day in his"
The Three Bells,Jimmy,PERSON,1959.0,"high above And there, twenty years thereafter Jimmy was to meet his love All the chapel bells were ringing 'Twas a great day in his"
The Three Bells,May,DATE,1959.0,"temptation Bless, O Lord, this celebration May their lives be filled with love. From the village, hidden deep in the valley One rainy morning dark"
The Three Bells,One,CARDINAL,1959.0,"temptation Bless, O Lord, this celebration May their lives be filled with love. From the village, hidden deep in the valley One rainy morning dark"
The Three Bells,morning,TIME,1959.0,"temptation Bless, O Lord, this celebration May their lives be filled with love. From the village, hidden deep in the valley One rainy morning dark"
The Three Bells,May,DATE,1959.0,into temptation May his soul find the salvation Of thy great eternal love.
Mr. Blue,Blue,PERSON,1959.0,me Ask for Mr. Blue I'm Mr. Blue When you say you love me Then prove it by going out on the sly Proving your
Mr. Blue,Blue,PERSON,1959.0,me Ask for Mr. Blue I'm Mr. Blue When you say you love me Then prove it by going out on the sly Proving your
Mr. Blue,Blue,PERSON,1959.0,me Then prove it by going out on the sly Proving your love isn't true Call me Mr. Blue I'm Mr. Blue When you say
Mr. Blue,Blue,PERSON,1959.0,me Then prove it by going out on the sly Proving your love isn't true Call me Mr. Blue I'm Mr. Blue When you say
Put Your Head On My Shoulder,Put,ORG,1959.0,"in your arms, baby Squeeze me so tight Show me that you love me too Put your lips next to mine, dear Won't you kiss"
Put Your Head On My Shoulder,Put,ORG,1959.0,"baby Words I want to hear Tell me, tell me that you love me too Put your head on my shoulder Whisper in my ear,"
Put Your Head On My Shoulder,Whisper,PERSON,1959.0,"baby Words I want to hear Tell me, tell me that you love me too Put your head on my shoulder Whisper in my ear,"
Donna,Donna,PERSON,1959.0,"name Since she left me I've never been the same Cause I love my girl Donna, where can you be? Where can you be? Now"
Donna,Donna,PERSON,1959.0,"left all alone All by myself To wander and roam Cause I love my girl Donna, where can you be? Where can you be? darlin',"
Donna,Donna,PERSON,1959.0,I don't know what I'll do All the time and all my love For you I had a girl Donna was her name Since she
Donna,Donna,PERSON,1959.0,"name Since she left me I've never been the same Cause I love my girl Donna, where can you be? Where can you be? Donna"
Donna,Donna,PERSON,1959.0,"name Since she left me I've never been the same Cause I love my girl Donna, where can you be? Where can you be? Donna"
Smoke Gets In Your Eyes,some day,DATE,1959.0,"inside Cannot be denied They said some day you'll find All who love are blind When your heart's on fire, you must realize Smoke gets"
Smoke Gets In Your Eyes,Smoke,NORP,1959.0,"inside Cannot be denied They said some day you'll find All who love are blind When your heart's on fire, you must realize Smoke gets"
Smoke Gets In Your Eyes,today,DATE,1959.0,chaffed them and I gaily laughed To think they could doubt my love Yet today my love has flown away I am without my love
Smoke Gets In Your Eyes,today,DATE,1959.0,gaily laughed To think they could doubt my love Yet today my love has flown away I am without my love Now laughing friends deride
Smoke Gets In Your Eyes,today,DATE,1959.0,"love Yet today my love has flown away I am without my love Now laughing friends deride Tears I cannot hide, hide So I smile"
Quiet Village,Telling,WORK_OF_ART,1959.0,to me Above me there's a moon on fire Telling you to love me as I desire And ever the flame in my quiet village
A Teenager In Love,Next day,DATE,1959.0,ask the stars up above Why must I be a teenager in love? One day I feel so happy Next day I feel so sad
16 Candles,16,CARDINAL,1959.0,"Happy birthday, happy birthday, baby I love you so 16 candles Make a lovely light But not as bright"
It's Just A Matter Of Time,one day,DATE,1959.0,"I know That one day, you'll wake up and find That my love was a true love It's just a matter of time"
(Now And Then There's) A Fool Such As I,the day,DATE,1959.0,"now you say that we are through I'm a fool, but I'll love you dear Until the day I die Now and then there's a"
(Now And Then There's) A Fool Such As I,the day,DATE,1959.0,"now you say that we are through I'm a fool, but I'll love you dear Until the day I die Now and then there's a"
Tragedy,Above Blown,WORK_OF_ART,1959.0,sincere You've gone from me tragedy Like smoke from a fire Of love Our dreams have all gone Above Blown by wind Kissed by snow
Tragedy,Kissed,PERSON,1959.0,sincere You've gone from me tragedy Like smoke from a fire Of love Our dreams have all gone Above Blown by wind Kissed by snow
I Need Your Love Tonight,tonight,TIME,1959.0,"so can't let you go don't tell me no I need your love tonight gee, the way you kiss Sweedee, too good to miss Wow"
I Need Your Love Tonight,Sweedee,PERSON,1959.0,"so can't let you go don't tell me no I need your love tonight gee, the way you kiss Sweedee, too good to miss Wow"
I Need Your Love Tonight,tonight,TIME,1959.0,"good to miss Wow whee, want more of this I need your love tonight I've been waiting just for tonight To do some loving and"
I Need Your Love Tonight,tonight,TIME,1959.0,"good to miss Wow whee, want more of this I need your love tonight I've been waiting just for tonight To do some loving and"
I Need Your Love Tonight,POW,ORG,1959.0,"wow, you better stay POW, POW, don't run away I need your love tonight"
I Need Your Love Tonight,POW,ORG,1959.0,"wow, you better stay POW, POW, don't run away I need your love tonight"
I Need Your Love Tonight,tonight,TIME,1959.0,"wow, you better stay POW, POW, don't run away I need your love tonight"
Alvin's Harmonica,Alvin,PERSON,1959.0,kiss We take them fruit or popcorn Because they always fall in love... When I play my harmoni corn! Alvin! Will you put that thing
Broken-hearted Melody,ken,PERSON,1959.0,ken hearted me eee lo dy Ooooonce you were our song of love Nooooow you just keep taunting me Wiiiiith the memory of His tender
Broken-hearted Melody,Ooooonce,ORG,1959.0,ken hearted me eee lo dy Ooooonce you were our song of love Nooooow you just keep taunting me Wiiiiith the memory of His tender
Broken-hearted Melody,Nooooow,ORG,1959.0,ken hearted me eee lo dy Ooooonce you were our song of love Nooooow you just keep taunting me Wiiiiith the memory of His tender
Broken-hearted Melody,Nooooow,ORG,1959.0,Nooooow you just keep taunting me Wiiiiith the memory of His tender love. Ooooh Broken hearted melody Must you keep reminding me Of the lips
Broken-hearted Melody,Broken,PERSON,1959.0,Nooooow you just keep taunting me Wiiiiith the memory of His tender love. Ooooh Broken hearted melody Must you keep reminding me Of the lips
Broken-hearted Melody,Brooooken,PERSON,1959.0,was heaven bound Brooooken hearted melody Ooooonce you were our song of love Nooooow you just keep taunting me Wiiiiiith the memory of His tender
Broken-hearted Melody,Ooooonce,ORG,1959.0,was heaven bound Brooooken hearted melody Ooooonce you were our song of love Nooooow you just keep taunting me Wiiiiiith the memory of His tender
Broken-hearted Melody,Nooooow,ORG,1959.0,was heaven bound Brooooken hearted melody Ooooonce you were our song of love Nooooow you just keep taunting me Wiiiiiith the memory of His tender
Broken-hearted Melody,Nooooow,ORG,1959.0,"Nooooow you just keep taunting me Wiiiiiith the memory of His tender love, Ooooh Broken hearted melody Won't you bring him back to me Sing"
Broken-hearted Melody,Ooooh Broken,PERSON,1959.0,"Nooooow you just keep taunting me Wiiiiiith the memory of His tender love, Ooooh Broken hearted melody Won't you bring him back to me Sing"
Broken-hearted Melody,Sing,PERSON,1959.0,"Nooooow you just keep taunting me Wiiiiiith the memory of His tender love, Ooooh Broken hearted melody Won't you bring him back to me Sing"
Hawaiian Wedding Song,Promise,PERSON,1959.0,bells will be ringing This is the moment sweet aloha I will love you longer than forever Promise me that you will leave me never
Hawaiian Wedding Song,Promise,PERSON,1959.0,that you will leave me never Here I my dear O my love I vow dear Promise me that you will leave me never I
Hawaiian Wedding Song,Promise,PERSON,1959.0,vow dear Promise me that you will leave me never I will love you longer than forever Now than we are one Cloud want light
Hawaiian Wedding Song,one,CARDINAL,1959.0,vow dear Promise me that you will leave me never I will love you longer than forever Now than we are one Cloud want light
Hawaiian Wedding Song,Love,WORK_OF_ART,1959.0,Blue sky is hawaii smile On this our wedding day I do Love you With all My heart
Frankie,Frankie,PERSON,1959.0,"Frankie, where ever you are, I love you Though you've found a new love I still miss you so"
Frankie,Frankie,PERSON,1959.0,"never let you see me cry Frankie, where ever you are, I love you"
Enchanted,Love,WORK_OF_ART,1959.0,"and soon you'll discover Your dreams run to dreams in continuous flight Love is ecstasy, it's divine to be enchanted When your dreams are slanted"
Enchanted,Love,WORK_OF_ART,1959.0,"and soon you'll discover Your dreams run to dreams in continuous flight Love is ecstasy, it's divine to be enchanted When your dreams are slanted"
I Only Have Eyes For You,tonight,TIME,1959.0,My love must be a kind of blind love I can't see anyone but you Are the stars out tonight? I
Tall Paul,Writing,PERSON,1959.0,"Chalk on the sidewalk Writing on the wall Everybody knows it I love Paul Tall Paul, tall Paul Tall Paul, he's my all Chalk on"
Tall Paul,Paul,PERSON,1959.0,"Chalk on the sidewalk Writing on the wall Everybody knows it I love Paul Tall Paul, tall Paul Tall Paul, he's my all Chalk on"
Tall Paul,Paul Tall Paul,PERSON,1959.0,"Chalk on the sidewalk Writing on the wall Everybody knows it I love Paul Tall Paul, tall Paul Tall Paul, he's my all Chalk on"
Three Stars,Ritchie Valens,PERSON,1959.0,"from heaven above Gee we re gonna miss you, Everybody sends their love On the left stands Ritchie Valens A young boy just seventeen Just"
